C#                      CSHARP
C++                     CPLUSPLUS
D                       D
Fortran                 FORTRAN
IDL                     IDL
Java                    JAVA
Javascript              JAVASCRIPT
Markdown                MARKDOWN
Objective-C             OBJECTIVE_C
PHP                     PHP
Python                  PYTHON
SQL                     SQL
Tcl                     TCL
Unknown                 UNKNOWN
VHDL                    VHDL
XML                     XML
assign                  ASSIGN
attention               ATTENTION
author                  AUTHOR
authors                 AUTHORS
category                CATEGORY
charliteral             CHAR_LITERAL
class                   CLASS
comment                 COMMENT
compound                COMPOUND
copy                    COPY
copyright               COPYRIGHT
date                    DATE
dcop                    DCOP
dcop-func               DCOP_FUNC
define                  DEFINE
dir                     DIR
enum                    ENUM
event                   EVENT
example                 EXAMPLE
exception               EXCEPTION
file                    FILE
friend                  FRIEND
func                    FUNC
function                FUNCTION
group                   GROUP
html                    HTML
in                      IN
include                 INCLUDE
inout                   INOUT
interface               INTERFACE
invariant               INVARIANT
keyword                 KEYWORD
keywordflow             KEYWORD_FLOW
keywordtype             KEYWORD_TYPE
latex                   LATEX
lvalue                  LVALUE
member                  MEMBER
module                  MODULE
namespace               NAMESPACE
no                      NO
non-virtual             NON_VIRTUAL
normal                  NORMAL
note                    NOTE
out                     OUT
package                 PACKAGE
package-attrib          PACKAGE_ATTRIB
package-func            PACKAGE_FUNC
package-static-attrib   PACKAGE_STATIC_ATTRIB
package-static-func     PACKAGE_STATIC_FUNC
package-type            PACKAGE_TYPE
page                    PAGE
par                     PAR
param                   PARAM
post                    POST
pre                     PRE
preprocessor            PREPROCESSOR
private                 PRIVATE
private-attrib          PRIVATE_ATTRIB
private-func            PRIVATE_FUNC
private-inheritance     PRIVATE_INHERITANCE
private-slot            PRIVATE_SLOT
private-static-attrib   PRIVATE_STATIC_ATTRIB
private-static-func     PRIVATE_STATIC_FUNC
private-type            PRIVATE_TYPE
property                PROPERTY
protected               PROTECTED
protected-attrib        PROTECTED_ATTRIB
protected-func          PROTECTED_FUNC
protected-inheritance   PROTECTED_INHERITANCE
protected-slot          PROTECTED_SLOT
protected-static-attrib PROTECTED_STATIC_ATTRIB
protected-static-func   PROTECTED_STATIC_FUNC
protected-type          PROTECTED_TYPE
protocol                PROTOCOL
prototype               PROTOTYPE
public                  PUBLIC
public-attrib           PUBLIC_ATTRIB
public-func             PUBLIC_FUNC
public-inheritance      PUBLIC_INHERITANCE
public-slot             PUBLIC_SLOT
public-static-attrib    PUBLIC_STATIC_ATTRIB
public-static-func      PUBLIC_STATIC_FUNC
public-type             PUBLIC_TYPE
pure-virtual            PURE_VIRTUAL
rcs                     RCS
related                 RELATED
remark                  REMARK
retain                  RETAIN
return                  RETURN
retval                  RET_VAL
rtf                     RTF
rvalue                  RVALUE
see                     SEE
service                 SERVICE
signal                  SIGNAL
since                   SINCE
singleton               SINGLETON
slot                    SLOT
stringliteral           STRINGLITERAL
strong                  STRONG
struct                  STRUCT
template-instance       TEMPLATE_INSTANCE
templateparam           TEMPLATE_PARAM
type                    TYPE
type-constraint         TYPE_CONSTRAINT
typedef                 TYPEDEF
union                   UNION
unretained              UNRETAINED
usage                   USAGE
user-defined            USER_DEFINED
var                     VAR
variable                VARIABLE
version                 VERSION
virtual                 VIRTUAL
warning                 WARNING
weak                    WEAK
yes                     YES
